#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_1	2339751	168	N	N	2	*	2077,221,-476,-475,-348,1912
contig_2	2131989	194	Y	N	3	*	34
contig_3	1419363	544	N	N	8	*	-1910,122,-2077
contig_4	1112204	25	N	N	1	*	*,642,-249
contig_5	1039645	118	N	N	2	*	-1838,1836,86,201,194,194,207,197,208,199,200
contig_6	967339	28	N	N	1	*	-249,-247,252,193,194,204,195
contig_7	828175	43	N	N	1	*	-1857,125,1857
contig_8	746798	78	N	N	1	*	1835,1836,84,-1689
contig_9	731046	451	N	N	7	*	-378,231,2077
contig_10	671824	160	N	N	2	*	91,349,351,351,355,356
contig_11	633374	25	N	N	1	*	*,534,*
contig_12	629332	30	N	N	1	*	128,-1375,*
contig_13	614422	34	N	N	1	*	-1857,124,1995
contig_14	606165	39	N	N	1	*	-1857,126
contig_15	564990	121	N	N	1	*	-289,284,286,285,1890,293
contig_16	530044	25	N	N	1	*	*,96,*
